Region,Country,ItemType,SalesChannel,OrderPriority,OrderDate,OrderID,ShipDate,UnitsSold,UnitPrice,UnitCost,TotalRevenue,TotalCost,TotalProfit
Central America and the Caribbean,Antigua and Barbuda ,Baby Food,Online,M,12/20/2013,957081544,01/11/2014,552,255.28,159.42,140914.56,87999.84,52914.72
Central America and the Caribbean,Panama,Snacks,Offline,C,07/05/2010,301644504,7/26/2010,2167,152.58,97.44,330640.86,211152.48,119488.38
Europe,Czech Republic,Beverages,Offline,C,09/12/2011,478051030,9/29/2011,4778,47.45,31.79,226716.1,151892.62,74823.48
Asia,North Korea,Cereal,Offline,L,5/13/2010,892599952,6/15/2010,9016,205.7,117.11,1854591.2,1055863.76,798727.44
Asia,Sri Lanka,Snacks,Offline,C,7/20/2015,571902596,7/27/2015,7542,152.58,97.44,1150758.36,734892.48,415865.88
Middle East and North Africa,Morocco,Personal Care,Offline,L,11/08/2010,412882792,11/22/2010,48,81.73,56.67,3923.04,2720.16,1202.88
Australia and Oceania,Federated States of Micronesia,Clothes,Offline,H,3/28/2011,932776868,05/10/2011,8258,109.28,35.84,902434.24,295966.72,606467.52
Europe,Bosnia and Herzegovina,Clothes,Online,M,10/14/2013,919133651,11/04/2013,927,109.28,35.84,101302.56,33223.68,68078.88
Middle East and North Africa,Afghanistan,Clothes,Offline,M,8/27/2016,579814469,10/05/2016,8841,109.28,35.84,966144.48,316861.44,649283.04
Sub-Saharan Africa,Ethiopia,Baby Food,Online,M,4/13/2015,192993152,05/07/2015,9817,255.28,159.42,2506083.76,1565026.14,941057.62
Middle East and North Africa,Turkey,Office Supplies,Offline,C,9/25/2013,557156026,10/15/2013,3704,651.21,524.96,2412081.84,1944451.84,467630
Middle East and North Africa,Oman,Cosmetics,Online,M,05/12/2013,741101920,5/17/2013,7382,437.2,263.33,3227410.4,1943902.06,1283508.34
Asia,Malaysia,Cereal,Offline,L,7/31/2016,333942162,8/25/2016,9762,205.7,117.11,2008043.4,1143227.82,864815.58
Central America and the Caribbean,Saint Lucia,Cosmetics,Offline,H,07/06/2015,795100581,7/16/2015,6786,437.2,263.33,2966839.2,1786957.38,1179881.82
Central America and the Caribbean,Saint Vincent and the Grenadines,Baby Food,Online,L,11/28/2010,504313504,12/03/2010,6428,255.28,159.42,1640939.84,1024751.76,616188.08
Middle East and North Africa,Lebanon,Meat,Offline,H,12/17/2015,611629760,1/31/2016,3693,421.89,364.69,1558039.77,1346800.17,211239.6
Europe,Austria,Cereal,Offline,C,8/13/2014,987410676,09/06/2014,5616,205.7,117.11,1155211.2,657689.76,497521.44
Europe,Bulgaria,Office Supplies,Online,L,10/31/2010,672330081,11/29/2010,6266,651.21,524.96,4080481.86,3289399.36,791082.5
North America,Mexico,Beverages,Online,C,3/13/2017,127374303,3/20/2017,1742,47.45,31.79,82657.9,55378.18,27279.72
Central America and the Caribbean,Trinidad and Tobago,Baby Food,Offline,C,4/16/2013,783842170,06/01/2013,5172,255.28,159.42,1320308.16,824520.24,495787.92
Middle East and North Africa,Libya,Beverages,Offline,L,1/18/2010,993345010,03/03/2010,1718,47.45,31.79,81519.1,54615.22,26903.88
Middle East and North Africa,Algeria,Baby Food,Offline,M,09/05/2015,977806651,10/14/2015,3572,255.28,159.42,911860.16,569448.24,342411.92
